congress,chamber,district_code,state_abbrev,party_code,bioname,nominate_dim1
111,House,32.0,CA,100,"SOLIS, Hilda L.",-0.508
111,House,33.0,CA,100,"WATSON, Diane Edith",-0.531
111,House,49.0,CA,200,"ISSA, Darrell",0.501
111,House,53.0,CA,100,"DAVIS, Susan A.",-0.34299999999999997
111,House,18.0,CA,100,"CARDOZA, Dennis A.",-0.262
111,House,21.0,CA,200,"NUNES, Devin",0.45
111,House,39.0,CA,100,"SÁNCHEZ, Linda T.",-0.508
111,House,20.0,CA,100,"COSTA, Jim",-0.192
111,House,5.0,CA,100,"MATSUI, Doris",-0.434
111,House,48.0,CA,200,"CAMPBELL, John (of California)",0.748
111,House,11.0,CA,100,"McNERNEY, Jerry",-0.263
111,House,22.0,CA,200,"MCCARTHY, Kevin",0.455
111,House,37.0,CA,100,"RICHARDSON, Laura",-0.33899999999999997
111,House,12.0,CA,100,"SPEIER, Karen Lorraine Jacqueline (Jackie)",-0.38
111,House,4.0,CA,200,"McCLINTOCK, Tom",0.7140000000000001
111,House,32.0,CA,100,"CHU, Judy",-0.488
111,House,10.0,CA,100,"GARAMENDI, John",-0.309
111,House,52.0,CA,200,"HUNTER, Duncan Duane",0.539
111,House,35.0,CA,100,"WATERS, Maxine",-0.653
111,House,6.0,CA,100,"WOOLSEY, Lynn C.",-0.556
111,House,14.0,CA,100,"ESHOO, Anna Georges",-0.381
111,House,17.0,CA,100,"FARR, Sam",-0.455
111,House,25.0,CA,200,"McKEON, Howard P. (Buck)",0.396
111,House,31.0,CA,100,"BECERRA, Xavier",-0.512
111,House,34.0,CA,100,"ROYBAL-ALLARD, Lucille",-0.469
111,House,36.0,CA,100,"HARMAN, Jane L.",-0.262
111,House,40.0,CA,200,"ROYCE, Edward Randall",0.657
111,House,44.0,CA,200,"CALVERT, Ken",0.35
111,House,51.0,CA,100,"FILNER, Bob",-0.652
111,House,16.0,CA,100,"LOFGREN, Zoe",-0.402
111,House,19.0,CA,200,"RADANOVICH, George P.",0.484
111,House,50.0,CA,200,"BILBRAY, Brian P.",0.392
111,House,10.0,CA,100,"TAUSCHER, Ellen O'Kane",-0.308
111,House,27.0,CA,100,"SHERMAN, Brad",-0.342
111,House,47.0,CA,100,"SANCHEZ, Loretta",-0.36700000000000005
111,House,23.0,CA,100,"CAPPS, Lois",-0.389
111,House,45.0,CA,200,"BONO, Mary",0.353
111,House,9.0,CA,100,"LEE, Barbara",-0.682
111,House,1.0,CA,100,"THOMPSON, Michael",-0.395
111,House,38.0,CA,100,"NAPOLITANO, Grace Flores",-0.44799999999999995
111,House,42.0,CA,200,"MILLER, Gary G.",0.478
111,House,43.0,CA,100,"BACA, Joe",-0.349
111,House,3.0,CO,100,"SALAZAR, John",-0.27699999999999997
111,House,5.0,CO,200,"LAMBORN, Doug",0.6759999999999999
111,House,7.0,CO,100,"PERLMUTTER, Ed",-0.282
111,House,2.0,CO,100,"POLIS, Jared",-0.278
111,House,4.0,CO,100,"MARKEY, Betsy",-0.19
111,House,6.0,CO,200,"COFFMAN, Mike",0.49200000000000005
111,House,1.0,CO,100,"DeGETTE, Diana",-0.431
111,House,2.0,CT,100,"COURTNEY, Joe",-0.344
111,House,5.0,CT,100,"MURPHY, Christopher",-0.27
111,House,4.0,CT,100,"HIMES, James A.",-0.242
111,House,3.0,CT,100,"DeLAURO, Rosa L.",-0.415
111,House,1.0,CT,100,"LARSON, John B.",-0.397
111,House,1.0,DE,200,"CASTLE, Michael Newbold",0.22899999999999998
111,House,1.0,DC,100,"NORTON, Eleanor Holmes",
111,House,10.0,FL,200,"YOUNG, Charles William (Bill)",0.325
111,House,6.0,FL,200,"STEARNS, Clifford Bundy",0.5539999999999999
111,House,18.0,FL,200,"ROS-LEHTINEN, Ileana",0.244
111,House,1.0,FL,200,"MILLER, Jefferson B. (Jeff)",0.633
111,House,4.0,FL,200,"CRENSHAW, Ander",0.33299999999999996
111,House,12.0,FL,200,"PUTNAM, Adam",0.414
111,House,5.0,FL,200,"BROWN-WAITE, Virginia (Ginny)",0.36
111,House,25.0,FL,200,"DIAZ-BALART, Mario",0.281
111,House,17.0,FL,100,"MEEK, Kendrick B.",-0.363
111,House,14.0,FL,200,"MACK, Connie, IV",0.601
111,House,20.0,FL,100,"WASSERMAN SCHULTZ, Debbie",-0.42
111,House,11.0,FL,100,"CASTOR, Kathy",-0.439
111,House,13.0,FL,200,"BUCHANAN, Vernon G.",0.36
111,House,22.0,FL,100,"KLEIN, Ron",-0.265
111,House,9.0,FL,200,"BILIRAKIS, Gus",0.405
111,House,8.0,FL,100,"GRAYSON, Alan",-0.363
111,House,15.0,FL,200,"POSEY, Bill",0.525
111,House,16.0,FL,200,"ROONEY, Thomas J.",0.45799999999999996
111,House,24.0,FL,100,"KOSMAS, Suzanne M.",-0.163
111,House,19.0,FL,100,"DEUTCH, Theodore E. (Ted)",-0.4
111,House,3.0,FL,100,"BROWN, Corrine",-0.429
111,House,7.0,FL,200,"MICA, John L.",0.45299999999999996
111,House,21.0,FL,200,"DIAZ-BALART, Lincoln",0.243
111,House,23.0,FL,100,"HASTINGS, Alcee Lamar",-0.564
111,House,2.0,FL,100,"BOYD, F. Allen, Jr.",-0.18100000000000002
111,House,19.0,FL,100,"WEXLER, Robert",-0.392
111,House,5.0,GA,100,"LEWIS, John R.",-0.589
111,House,8.0,GA,100,"MARSHALL, Jim",-0.11900000000000001
111,House,11.0,GA,200,"GINGREY, Phil",0.561
111,House,13.0,GA,100,"SCOTT, David",-0.302
111,House,6.0,GA,200,"PRICE, Tom",0.644
111,House,3.0,GA,200,"WESTMORELAND, Lynn A.",0.672
111,House,12.0,GA,100,"BARROW, John",-0.11900000000000001
111,House,4.0,GA,100,"JOHNSON, Hank",-0.46799999999999997
111,House,10.0,GA,200,"BROUN, Paul C., Jr.",0.9129999999999999
111,House,9.0,GA,200,"GRAVES, Tom",0.716
111,House,1.0,GA,200,"KINGSTON, Jack",0.54
111,House,2.0,GA,100,"BISHOP, Sanford Dixon, Jr.",-0.28300000000000003
111,House,7.0,GA,200,"LINDER, John Elmer",0.5589999999999999
111,House,9.0,GA,200,"DEAL, John Nathan",0.581
111,House,1.0,GU,100,"BORDALLO, Madeleine",
111,House,1.0,HI,100,"ABERCROMBIE, Neil",-0.43200000000000005
111,House,2.0,HI,100,"HIRONO, Mazie",-0.512
111,House,1.0,HI,200,"DJOU, Charles",0.172
111,House,1.0,ID,100,"MINNICK, Walt",0.08800000000000001
111,House,2.0,ID,200,"SIMPSON, Michael K.",0.29600000000000004
111,House,12.0,IL,100,"COSTELLO, Jerry Francis",-0.317
111,House,10.0,IL,200,"KIRK, Mark Steven",0.27399999999999997
111,House,15.0,IL,200,"JOHNSON, Timothy V.",0.264
111,House,3.0,IL,100,"LIPINSKI, Daniel",-0.22699999999999998
111,House,8.0,IL,100,"BEAN, Melissa L.",-0.155
111,House,6.0,IL,200,"ROSKAM, Peter",0.429
111,House,17.0,IL,100,"HARE, Phil",-0.38
111,House,14.0,IL,100,"FOSTER, Bill",-0.23
111,House,11.0,IL,100,"HALVORSON, Deborah L.",-0.183
111,House,18.0,IL,200,"SCHOCK, Aaron",0.311
111,House,5.0,IL,100,"QUIGLEY, Mike",-0.322
111,House,1.0,IL,100,"RUSH, Bobby L.",-0.479
111,House,4.0,IL,100,"GUTIÉRREZ, Luis V.",-0.48700000000000004
111,House,16.0,IL,200,"MANZULLO, Donald A.",0.51
111,House,2.0,IL,100,"JACKSON, Jesse L., Jr.",-0.5379999999999999
111,House,7.0,IL,100,"DAVIS, Danny K.",-0.486
111,House,19.0,IL,200,"SHIMKUS, John M.",0.375
111,House,9.0,IL,100,"SCHAKOWSKY, Janice D.",-0.606
111,House,13.0,IL,200,"BIGGERT, Judy Borg",0.32299999999999995
111,House,5.0,IN,200,"BURTON, Danny Lee",0.585
111,House,1.0,IN,100,"VISCLOSKY, Peter",-0.402
111,House,6.0,IN,200,"PENCE, Mike",0.655
111,House,2.0,IN,100,"DONNELLY, Joe",-0.11900000000000001
111,House,8.0,IN,100,"ELLSWORTH, Brad",-0.106
111,House,7.0,IN,100,"CARSON, André",-0.431
111,House,3.0,IN,200,"STUTZMAN, Marlin",0.742
111,House,4.0,IN,200,"BUYER, Stephen Earle",0.435
111,House,3.0,IN,200,"SOUDER, Mark Edward",0.435
111,House,9.0,IN,100,"HILL, Baron P.",-0.121
111,House,5.0,IA,200,"KING, Steve",0.613
111,House,1.0,IA,100,"BRALEY, Bruce",-0.31
111,House,2.0,IA,100,"LOEBSACK, Dave",-0.276
111,House,4.0,IA,200,"LATHAM, Thomas",0.302
111,House,3.0,IA,100,"BOSWELL, Leonard L.",-0.23800000000000002
111,House,2.0,KS,200,"JENKINS, Lynn",0.523
111,House,4.0,KS,200,"TIAHRT, Todd",0.449
111,House,1.0,KS,200,"MORAN, Jerry",0.415
111,House,3.0,KS,100,"MOORE, Dennis",-0.267
111,House,5.0,KY,200,"ROGERS, Harold Dallas (Hal)",0.33799999999999997
111,House,6.0,KY,100,"CHANDLER, A. B. (Ben)",-0.23199999999999998
111,House,4.0,KY,200,"DAVIS, Geoffrey C. (Geoff)",0.39799999999999996
111,House,3.0,KY,100,"YARMUTH, John",-0.37799999999999995
111,House,2.0,KY,200,"GUTHRIE, Brett",0.42
111,House,1.0,KY,200,"WHITFIELD, Wayne Edward (Ed)",0.303
111,House,3.0,LA,100,"MELANCON, Charles J.",-0.17800000000000002
111,House,7.0,LA,200,"BOUSTANY, Charles W.",0.392
111,House,1.0,LA,200,"SCALISE, Steve",0.5579999999999999
111,House,2.0,LA,200,"CAO, Anh (Joseph)",0.133
111,House,4.0,LA,200,"FLEMING, John",0.59
111,House,6.0,LA,200,"CASSIDY, Bill",0.457
111,House,5.0,LA,200,"ALEXANDER, Rodney",0.331
111,House,2.0,ME,100,"MICHAUD, Michael H.",-0.28300000000000003
111,House,1.0,ME,100,"PINGREE, Chellie",-0.42
111,House,5.0,MD,100,"HOYER, Steny Hamilton",-0.38
111,House,2.0,MD,100,"RUPPERSBERGER, C. A. (Dutch)",-0.295
111,House,8.0,MD,100,"VAN HOLLEN, Christopher",-0.391
111,House,3.0,MD,100,"SARBANES, John",-0.467
111,House,4.0,MD,100,"EDWARDS, Donna F.",-0.562
111,House,1.0,MD,100,"KRATOVIL, Frank M., Jr.",-0.037000000000000005
111,House,6.0,MD,200,"BARTLETT, Roscoe Gardner",0.493
111,House,7.0,MD,100,"CUMMINGS, Elijah Eugene",-0.43799999999999994
111,House,7.0,MA,100,"MARKEY, Edward John",-0.513
111,House,4.0,MA,100,"FRANK, Barney",-0.499
111,House,2.0,MA,100,"NEAL, Richard Edmund",-0.41700000000000004
111,House,9.0,MA,100,"LYNCH, Stephen F.",-0.35
111,House,5.0,MA,100,"TSONGAS, Nicola S. (Niki)",-0.396
111,House,1.0,MA,100,"OLVER, John Walter",-0.5770000000000001
111,House,3.0,MA,100,"McGOVERN, James P.",-0.539
111,House,6.0,MA,100,"TIERNEY, John F.",-0.488
111,House,10.0,MA,100,"DELAHUNT, Bill",-0.495
111,House,8.0,MA,100,"CAPUANO, Michael Everett",-0.58
111,House,15.0,MI,100,"DINGELL, John David, Jr.",-0.44799999999999995
111,House,14.0,MI,100,"CONYERS, John, Jr.",-0.6579999999999999
111,House,5.0,MI,100,"KILDEE, Dale Edward",-0.385
111,House,12.0,MI,100,"LEVIN, Sander Martin",-0.379
111,House,6.0,MI,200,"UPTON, Frederick Stephen",0.33
111,House,8.0,MI,200,"ROGERS, Mike",0.4
111,House,10.0,MI,200,"MILLER, Candice S.",0.34299999999999997
111,House,11.0,MI,200,"McCOTTER, Thaddeus George",0.335
111,House,7.0,MI,100,"SCHAUER, Mark H.",-0.233
111,House,9.0,MI,100,"PETERS, Gary C.",-0.24600000000000002
111,House,4.0,MI,200,"CAMP, David Lee",0.385
111,House,1.0,MI,100,"STUPAK, Bart T.",-0.396
111,House,2.0,MI,200,"HOEKSTRA, Peter",0.516
111,House,3.0,MI,200,"EHLERS, Vernon James",0.316
111,House,13.0,MI,100,"KILPATRICK, Carolyn Cheeks",-0.491
111,House,8.0,MN,100,"OBERSTAR, James Louis",-0.5529999999999999
111,House,4.0,MN,100,"McCOLLUM, Betty",-0.41700000000000004
111,House,2.0,MN,200,"KLINE, John",0.49
111,House,1.0,MN,100,"WALZ, Tim",-0.275
111,House,5.0,MN,100,"ELLISON, Keith",-0.537
111,House,6.0,MN,200,"BACHMANN, Michele",0.584
111,House,3.0,MN,200,"PAULSEN, Erik",0.402
111,House,7.0,MN,100,"PETERSON, Collin Clark",-0.14800000000000002
111,House,4.0,MS,100,"TAYLOR, Gary Eugene (Gene)",-0.045
111,House,1.0,MS,100,"CHILDERS, Travis W.",-0.011000000000000001
111,House,3.0,MS,200,"HARPER, Gregg",0.384
111,House,2.0,MS,100,"THOMPSON, Bennie",-0.516
111,House,4.0,MO,100,"SKELTON, Isaac Newton, IV (Ike)",-0.172
111,House,2.0,MO,200,"AKIN, W. Todd",0.612
111,House,6.0,MO,200,"GRAVES, Samuel",0.444
111,House,1.0,MO,100,"CLAY, William Lacy, Jr.",-0.48100000000000004
111,House,3.0,MO,100,"CARNAHAN, Russ",-0.34700000000000003
111,House,5.0,MO,100,"CLEAVER, Emanuel, II",-0.45299999999999996
111,House,9.0,MO,200,"LUETKEMEYER, Blaine",0.439
111,House,7.0,MO,200,"BLUNT, Roy",0.415
111,House,8.0,MO,200,"EMERSON, Jo Ann",0.26899999999999996
111,House,1.0,MT,200,"REHBERG, Denny",0.337
111,House,1.0,NE,200,"FORTENBERRY, Jeff",0.303
111,House,3.0,NE,200,"SMITH, Adrian",0.517
111,House,2.0,NE,200,"TERRY, Lee Raymond",0.426
111,House,2.0,NV,200,"HELLER, Dean",0.46299999999999997
111,House,3.0,NV,100,"TITUS, Alice (Dina)",-0.303
111,House,1.0,NV,100,"BERKLEY, Shelley",-0.302
111,House,1.0,NH,100,"SHEA-PORTER, Carol",-0.315
111,House,2.0,NH,100,"HODES, Paul",-0.256
111,House,4.0,NJ,200,"SMITH, Christopher Henry",0.166
111,House,6.0,NJ,100,"PALLONE, Frank, Jr.",-0.40399999999999997
111,House,10.0,NJ,100,"PAYNE, Donald Milford",-0.5920000000000001
111,House,5.0,NJ,200,"GARRETT, Scott",0.688
111,House,13.0,NJ,100,"SIRES, Albio",-0.40299999999999997
111,House,3.0,NJ,100,"ADLER, John H.",-0.114
111,House,7.0,NJ,200,"LANCE, Leonard",0.32899999999999996
111,House,1.0,NJ,100,"ANDREWS, Robert Ernest",-0.297
111,House,2.0,NJ,200,"LoBIONDO, Frank A.",0.21100000000000002
111,House,11.0,NJ,200,"FRELINGHUYSEN, Rodney P.",0.292
111,House,8.0,NJ,100,"PASCRELL, William J., Jr.",-0.366
111,House,9.0,NJ,100,"ROTHMAN, Steven",-0.35200000000000004
111,House,12.0,NJ,100,"HOLT, Rush",-0.46299999999999997
111,House,1.0,NM,100,"HEINRICH, Martin",-0.33
111,House,2.0,NM,100,"TEAGUE, Harry",-0.142
111,House,3.0,NM,100,"LUJÁN, Ben Ray",-0.368
111,House,15.0,NY,100,"RANGEL, Charles B.",-0.514
111,House,5.0,NY,100,"ACKERMAN, Gary Leonard",-0.429
111,House,10.0,NY,100,"TOWNS, Edolphus",-0.519
111,House,28.0,NY,100,"SLAUGHTER, Louise McIntosh",-0.465
111,House,17.0,NY,100,"ENGEL, Eliot Lance",-0.408
111,House,18.0,NY,100,"LOWEY, Nita M.",-0.389
111,House,2.0,NY,100,"ISRAEL, Steve",-0.33399999999999996
111,House,1.0,NY,100,"BISHOP, Timothy H.",-0.33799999999999997
111,House,27.0,NY,100,"HIGGINS, Brian",-0.34700000000000003
111,House,11.0,NY,100,"CLARKE, Yvette Diane",-0.614
111,House,19.0,NY,100,"HALL, John",-0.319
111,House,20.0,NY,100,"GILLIBRAND, Kirsten",-0.473
111,House,24.0,NY,100,"ARCURI, Michael",-0.20600000000000002
111,House,13.0,NY,100,"McMAHON, Michael E.",-0.156
111,House,21.0,NY,100,"TONKO, Paul",-0.42
111,House,25.0,NY,100,"MAFFEI, Daniel B.",-0.19
111,House,26.0,NY,200,"LEE, Christopher John",0.313
111,House,29.0,NY,100,"MASSA, Eric J.J.",-0.201
111,House,20.0,NY,100,"MURPHY, Scott",-0.11
111,House,23.0,NY,100,"OWENS, William",-0.182
111,House,29.0,NY,200,"REED, Thomas W. II",0.27399999999999997
111,House,16.0,NY,100,"SERRANO, José E.",-0.491
111,House,3.0,NY,200,"KING, Peter T.",0.259
111,House,8.0,NY,100,"NADLER, Jerrold Lewis",-0.508
111,House,12.0,NY,100,"VELÁZQUEZ, Nydia M.",-0.547
111,House,14.0,NY,100,"MALONEY, Carolyn Bosher",-0.387
111,House,22.0,NY,100,"HINCHEY, Maurice Dunlea",-0.575
111,House,4.0,NY,100,"McCARTHY, Carolyn",-0.294
111,House,6.0,NY,100,"MEEKS, Gregory W.",-0.414
111,House,7.0,NY,100,"CROWLEY, Joseph",-0.41200000000000003
111,House,9.0,NY,100,"WEINER, Anthony D.",-0.408
111,House,23.0,NY,200,"McHUGH, John Michael",0.225
111,House,6.0,NC,200,"COBLE, Howard",0.52
111,House,4.0,NC,100,"PRICE, David Eugene",-0.34299999999999997
111,House,1.0,NC,100,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",-0.40299999999999997
111,House,13.0,NC,100,"MILLER, Brad",-0.376
111,House,5.0,NC,200,"FOXX, Virginia Ann",0.628
111,House,10.0,NC,200,"McHENRY, Patrick T.",0.545
111,House,11.0,NC,100,"SHULER, Heath",-0.07
111,House,8.0,NC,100,"KISSELL, Larry",-0.182
111,House,12.0,NC,100,"WATT, Melvin L.",-0.526
111,House,3.0,NC,200,"JONES, Walter Beaman, Jr.",0.244
111,House,9.0,NC,200,"MYRICK, Sue",0.56
111,House,2.0,NC,100,"ETHERIDGE, Bobby R.",-0.28800000000000003
111,House,7.0,NC,100,"McINTYRE, Mike",-0.14800000000000002
111,House,1.0,ND,100,"POMEROY, Earl Ralph, III",-0.266
111,House,1.0,MP,100,"SABLAN, Gregorio Kilili Camacho",
111,House,1.0,MP,328,"SABLAN, Gregorio Kilili Camacho",
111,House,9.0,OH,100,"KAPTUR, Marcia Carolyn (Marcy)",-0.35
111,House,12.0,OH,200,"TIBERI, Patrick (Pat)",0.386
111,House,3.0,OH,200,"TURNER, Michael R.",0.275
111,House,17.0,OH,100,"RYAN, Timothy J.",-0.402
111,House,2.0,OH,200,"SCHMIDT, Jean",0.467
111,House,4.0,OH,200,"JORDAN, Jim",0.718
111,House,6.0,OH,100,"WILSON, Charlie",-0.321
111,House,13.0,OH,100,"SUTTON, Betty",-0.44
111,House,18.0,OH,100,"SPACE, Zack",-0.16699999999999998
111,House,5.0,OH,200,"LATTA, Robert E.",0.516
111,House,1.0,OH,100,"DRIEHAUS, Steve",-0.184
111,House,7.0,OH,200,"AUSTRIA, Steve",0.36700000000000005
111,House,11.0,OH,100,"FUDGE, Marcia L.",-0.581
111,House,15.0,OH,100,"KILROY, Mary Jo",-0.318
111,House,16.0,OH,100,"BOCCIERI, John A.",-0.185
111,House,8.0,OH,200,"BOEHNER, John Andrew",0.513
111,House,14.0,OH,200,"LaTOURETTE, Steven C.",0.21100000000000002
111,House,10.0,OH,100,"KUCINICH, Dennis",-0.5820000000000001
111,House,1.0,OK,200,"SULLIVAN, John",0.513
111,House,4.0,OK,200,"COLE, Tom",0.332
111,House,2.0,OK,100,"BOREN, Daniel David",-0.11199999999999999
111,House,5.0,OK,200,"FALLIN, Mary",0.43200000000000005
111,House,3.0,OK,200,"LUCAS, Frank D.",0.363
111,House,4.0,OR,100,"DeFAZIO, Peter Anthony",-0.428
111,House,5.0,OR,100,"SCHRADER, Kurt",-0.184
111,House,3.0,OR,100,"BLUMENAUER, Earl",-0.428
111,House,1.0,OR,100,"WU, David",-0.37
111,House,2.0,OR,200,"WALDEN, Greg",0.33299999999999996
111,House,12.0,PA,100,"MURTHA, John Patrick, Jr.",-0.265
111,House,11.0,PA,100,"KANJORSKI, Paul E.",-0.303
111,House,9.0,PA,200,"SHUSTER, William (Bill)",0.374
111,House,19.0,PA,200,"PLATTS, Todd",0.252
111,House,6.0,PA,200,"GERLACH, Jim",0.221
111,House,18.0,PA,200,"MURPHY, Timothy",0.258
111,House,13.0,PA,100,"SCHWARTZ, Allyson Y.",-0.34299999999999997
111,House,15.0,PA,200,"DENT, Charles W.",0.244
111,House,4.0,PA,100,"ALTMIRE, Jason",-0.133
111,House,7.0,PA,100,"SESTAK, Joe",-0.271
111,House,8.0,PA,100,"MURPHY, Patrick",-0.204
111,House,10.0,PA,100,"CARNEY, Chris",-0.11900000000000001
111,House,3.0,PA,100,"DAHLKEMPER, Kathleen A. (Kathy)",-0.17800000000000002
111,House,5.0,PA,200,"THOMPSON, Glenn",0.316
111,House,12.0,PA,100,"CRITZ, Mark S.",-0.326
111,House,17.0,PA,100,"HOLDEN, Thomas Timothy (Tim)",-0.233
111,House,2.0,PA,100,"FATTAH, Chaka",-0.47200000000000003
111,House,14.0,PA,100,"DOYLE, Michael F.",-0.331
111,House,16.0,PA,200,"PITTS, Joseph R.",0.5379999999999999
111,House,1.0,PA,100,"BRADY, Robert A.",-0.484
111,House,1.0,PR,328,"PIERLUISI, Pedro",
111,House,1.0,PR,100,"PIERLUISI, Pedro",
111,House,2.0,RI,100,"LANGEVIN, James",-0.375
111,House,1.0,RI,100,"KENNEDY, Patrick Joseph",-0.409
111,House,5.0,SC,100,"SPRATT, John McKee, Jr.",-0.256
111,House,1.0,SC,200,"BROWN, Henry Edward, Jr.",0.36700000000000005
111,House,2.0,SC,200,"WILSON, Addison Graves (Joe)",0.536
111,House,3.0,SC,200,"BARRETT, James Gresham",0.653
111,House,4.0,SC,200,"INGLIS, Robert Durden",0.518
111,House,6.0,SC,100,"CLYBURN, James Enos",-0.46399999999999997
111,House,1.0,SD,100,"HERSETH SANDLIN, Stephanie",-0.184
111,House,5.0,TN,100,"COOPER, James Hayes Shofner",-0.163
111,House,6.0,TN,100,"GORDON, Barton Jennings",-0.204
111,House,2.0,TN,200,"DUNCAN, John J., Jr.",0.604
111,House,8.0,TN,100,"TANNER, John S.",-0.182
111,House,4.0,TN,100,"DAVIS, Lincoln",-0.205
111,House,7.0,TN,200,"BLACKBURN, Marsha",0.623
111,House,9.0,TN,100,"COHEN, Stephen",-0.4
111,House,1.0,TN,200,"ROE, David P. (Phil)",0.486
111,House,3.0,TN,200,"WAMP, Zachary Paul",0.428
111,House,14.0,TX,200,"PAUL, Ronald Ernest",0.863
111,House,27.0,TX,100,"ORTIZ, Solomon P.",-0.272
111,House,6.0,TX,200,"BARTON, Joe Linus",0.528
111,House,21.0,TX,200,"SMITH, Lamar Seeligson",0.425
111,House,7.0,TX,200,"CULBERSON, John",0.503
111,House,5.0,TX,200,"HENSARLING, Jeb",0.703
111,House,19.0,TX,200,"NEUGEBAUER, Randy",0.628
111,House,26.0,TX,200,"BURGESS, Michael C.",0.573
111,House,31.0,TX,200,"CARTER, John R.",0.474
111,House,1.0,TX,200,"GOHMERT, Louie",0.633
111,House,2.0,TX,200,"POE, Ted",0.594
111,House,9.0,TX,100,"GREEN, Al",-0.43799999999999994
111,House,10.0,TX,200,"McCAUL, Michael T.",0.43
111,House,11.0,TX,200,"CONAWAY, K. Michael",0.593
111,House,24.0,TX,200,"MARCHANT, Kenny",0.6
111,House,28.0,TX,100,"CUELLAR, Henry",-0.22699999999999998
111,House,22.0,TX,200,"OLSON, Pete",0.5479999999999999
111,House,3.0,TX,200,"JOHNSON, Sam",0.61
111,House,17.0,TX,100,"EDWARDS, Thomas Chester (Chet)",-0.226
111,House,25.0,TX,100,"DOGGETT, Lloyd Alton, II",-0.402
111,House,13.0,TX,200,"THORNBERRY, William McClellan (Mac)",0.525
111,House,18.0,TX,100,"JACKSON LEE, Sheila",-0.46
111,House,32.0,TX,200,"SESSIONS, Pete",0.5870000000000001
111,House,8.0,TX,200,"BRADY, Kevin Patrick",0.524
111,House,12.0,TX,200,"GRANGER, Kay",0.39799999999999996
111,House,15.0,TX,100,"HINOJOSA, Rubén",-0.34
111,House,16.0,TX,100,"REYES, Silvestre",-0.321
111,House,23.0,TX,100,"RODRIGUEZ, Ciro D.",-0.349
111,House,20.0,TX,100,"GONZALEZ, Charles A.",-0.34700000000000003
111,House,29.0,TX,100,"GREEN, Raymond Eugene (Gene)",-0.324
111,House,30.0,TX,100,"JOHNSON, Eddie Bernice",-0.485
111,House,4.0,TX,200,"HALL, Ralph Moody",0.424
111,House,2.0,UT,100,"MATHESON, James David (Jim)",-0.115
111,House,1.0,UT,200,"BISHOP, Robert (Rob)",0.537
111,House,3.0,UT,200,"CHAFFETZ, Jason",0.647
111,House,1.0,VT,100,"WELCH, Peter",-0.409
111,House,1.0,VI,100,"CHRISTENSEN, Donna Marie",
111,House,10.0,VA,200,"WOLF, Frank Rudolph",0.284
111,House,9.0,VA,100,"BOUCHER, Frederick C.",-0.265
111,House,4.0,VA,200,"FORBES, J. Randy",0.40700000000000003
111,House,7.0,VA,200,"CANTOR, Eric",0.518
111,House,1.0,VA,200,"WITTMAN, Robert J.",0.446
111,House,2.0,VA,100,"NYE, Glenn C., III",-0.03
111,House,5.0,VA,100,"PERRIELLO, Tom",-0.122
